"title","task_title","note"
"Restaurants","Lisbon Cafe-Carle Place","490 Westbury Ave\nCarle Place\n516-280-5015\n\nwww.lisboncaferestaurant.com\n\nChourico flambed tableside, grilled octopus, shrimps in garlic sauce, caldo verde, sopa de mariscos, bacalhau, carne de porco a Alentejana, braised goat tastes like osso buco, coelho a cacador (stewed rabbit), rack of lamb, flan, cream cookie crumb natas do ceu \n\nNo paella Valenciana, lobster, seafood in green sauce, baked clams, stuffed mushrooms, calamari, chocolate lava cake"
"Restaurants","Mannino's-Commack","2158 Jericho Tpk\nCommack\n631-462-0909\n\nwww.manninosrestaurant.com\n\nGrilled octopus, baked clams oreganata, fried calamari, escarole and cannellini beans,pasta fagiole, baked lasagne,, cheese tortellini antica, parms, braciola, pan-seared pork chops, cannoli\n\nNot lobster tail or seared tuna"
"Restaurants","Cafe Mendoza Argentine Tapas Bar-Commack","169 Commack Rd\nCommack\n631-486-8848\n\nwww.cafemendoza.com\n\nSame owners as Cafe Buenos Aires in Huntington \n\nStick to small plates!!\n\nSpinach gnocchi w/scallops ,shrimp in garlic sauce, steamed clams and chorizo in Malbec , empanadas\n;  steak tartare; rib-eye; mixed grill for 2; chick peas; ceviches; lobster roll; Cuban sandwich; mac and cheese; mango flan; poached pear; balcarce; octopus\n\nNot stuffed dates, solomillo, pork belly, brochettes de carne"
"Restaurants","Kenta-Melville","1197 Walt Whitman Rd\nMelville\n631-421-8000\n\nwww.kentali.com\nOwners James and Joseph Ragonese\n\nEdamame,  Rising Sun roll, lobster tacos (?), Chilean sea bass, crisp herb salmon; toro; avocado toast w/burrata; Kobe beef sliders; sweet/spicy jumbo prawns"
"Restaurants","La Candela-Hicksville","495 South Broadway \nHicksville \n516-470-0805\n\nFamily run Peruvian \n\n"
"Restaurants","Refuge-Melville","515 Broadhollow Rd\nMelville\n631-577-4444\n\nwww.refuge110.com\n\nGuacamole, ropa vieja nachos, rigatoni and meatballs,, baked eggplant w/pappardelle, burger\n\nChewy skirt steak, overdone shrimp poboy"
"Restaurants","Bairrada-Mineola","144 Jericho Tpk\nMineola \n516-739-3856\n\nwww.churrasqueira.com\n\nAll you can eat rodizio "
"Restaurants","PJ Clarke's-Woodbury","8289 Jericho Tpk\nWoodbury\n516-367-7400\n\nwww.pjclarkes.com\n\nRaw oysters, mussels mariniere, lobster roll, New England clam chowder, Caesar salad, burgers, Reuben, dry-aged sirloin (skip the sauces), filet mignon,Parmesan spiked tater tots, mashed potatoes w/chives, onion rings, NY cheesecake, whisky bread pudding \n\nStay away from crab cakes, fish and chips, seared scallops"
"Restaurants","Luso -Smithtown","133 W Main St\nSmithtown \n\nwww.lusorodizio.com"
"Restaurants","Hush Bistro-Farmingdale","291 Main St\nFarmingdale\n516-293-4874\n\nwww.hushamericanbistro.com\n\nChef Marc Anthony Bynum\n\nOnly 28 seats--all tables for 2;  small menu and additional bar menu\n\nLobster bisque, house-smoked ribs, kabocha squash soup, surf and turf appetizer, foie gras, Berkshire pork chop, pan-roasted crisp chicken, burgers, craft beers, olive oil cake w/berries, strawberry and goat cheese pannacotta, chocolate and chocolate dessert\n\nChewy duck breast and NY strip steak; dry cornbread \n"
"Restaurants","Loco","412 west Broadway"
"Restaurants","Koy","16 north at\nBoston ms"
"Restaurants","Karoo","East ham"
"Restaurants","Kirkland","425 Washington st\nSomerville ma"
"Restaurants","Bacaro","7 Lonsdale St Braddon. 0261624888"
"Restaurants","Elk and Pea","21 Lonsdale Street, Braddon"
"Restaurants","San Francisco","Coqueta coquetasf.com/\nHops & Hominy hopsandhominy.com/\nEpic Roasthouse www.epicroasthouse.com/\nTaqueria Cancun\nHillstone "
"Restaurants","Miami","Lido (on the water)\n"
"Restaurants","Chicago","New American\nNightwood www.nightwoodrestaurant.com/\n\nMexican\nAntique Taco http://www.antiquetaco.com\nBig Star http://bigstarchicago.com   (cash only)\nMercadito www.mercaditorestaurants.com/chicago/\n\nBar\nThe Wit www.roofonthewit.com/ (rooftop)\n\nBurgers\nDMK Burger Bar dmkburgerbar.com/\nAu Cheval http://auchevalchicago.com\n\nBBQ\nQ http://www.q-bbq.com\n\nBig Star"
"Restaurants","Barcelona","Rooftop\nAxel Hotel www.axelhotels.com/hoteles/barcelona/\nCorxus corxusbarcelona.com/\nCañete www.barcanete.com/\nRosini  restauranterossini.com/\n"
"Restaurants","Boston","Lolita \n"
"Restaurants","San Diego","Pelly's Tacos\nIronside \nKex Ketner Exchange\nSear Sucker\nWater Grill\nLa Puerta \nDon Chido "
"Restaurants","Washington DC","Jaleo - Spanish (Jose Andres)\n\nOyamel - Mexican (Jose Andres) Bartender, Betty\n\nDuPont Circle Hotel - Happy Hour\n\n"
"Restaurants","FAT","29th Street cor. Rizal Drive, Forbestown Center, Bonifacio Global City."
"Restaurants","Zum Neusiedler","Gasthaus zum Neusiedler\nPrager Str. 2, 1210 Wien\nKüche: Mo-Fr 10-22 Uhr \nwww.zumneusiedler.at"
"Restaurants","Wald/4ler Stub'n","Wald/4ler Stub'n\nCafe-Restaurant\nWiedner Hauptstraße 89\n1050 Wien\n\ntel. 01 / 544-83-31\nrestaurant@wald4ler.at\nÖFFNUNGSZEITEN:\nMo bis So: 11:30 - 23:00"
"Restaurants","The Golden Harp","Erdbergstr. 27, 1030 Wien"
"Restaurants","Haveli - Indisches Restaurant","Gross-Enzersdorferstrasse 11. 1220 Wien (nähe Siegesplatz, 50 m entfernt)\nhttp://www.restauranthaveli.at\n\nTel.: + 43 (0) 1 210 69 44\n\nMobil: + 43 (0) 699 121 019 68"
"Restaurants","Chi chi's","Donderdagavond? Mexicaans en burgers"
"Restaurants","Gusto","8432 W 3rd St., Los Angeles; \n323-782-1778."
"Restaurants","Ink","8360 Melrose Ave., Los Angeles\n(323) 651-5866\nmvink.com\n6-11 p.m. Sundays to Thursdays, 6 p.m. to midnight Fridays and Saturdays\n$$$\nFull bar. Valet parking. Credit cards accepted."
"Restaurants","Hinoki and the Bird","10 W. Century Drive, Century City\n(310) 552-1200\nhinokiandthebird.com\nLunch, 11:30 a.m. to 2:30 p.m. Tuesdays to Fridays; dinner, 5:30-10 p.m. Tuesdays to Saturdays\n$$$\nFull bar. Valet parking. Credit cards accepted."
"Restaurants","Redbird","114 E. 2nd St.\nLos Angeles, CA 90012\n(213) 788-1191"
"Restaurants","The Tasting Kitchen","1633 Abbot Kinney Blvd\nVenice, CA 90291\nVenice\nPhone number (310) 392-6644\nthetastingkitchen.com"
"Restaurants","n/naka","3455 Overland Ave.\nLos Angeles, CA 90034\nNeighborhood: Culver City"
"Restaurants","Salt Air","1616 Abbot Kinney Blvd\nVenice"
"Restaurants","Son of a Gun","8370 W. 3rd St., Los Angeles\n(323) 782-9033\nsonofagunrestaurant.com\nLunch, 11:30 a.m. to 2:30 p.m. Mondays to Fridays; dinner, 6-11 p.m. Sundays to Thursdays, 6 p.m. to midnight Fridays and Saturdays\n$$$\nFull bar. Valet parking. Credit cards accepted."
"Restaurants","The Churchill","8384 West 3rd St., Los Angeles; \n(323) 655-8384."
"Restaurants","Odys + Penelope","127 S. La Brea\nLos Angeles, CA 90036\n(323) 935-2977\n\nThe Hatfields are back."
"Restaurants","Ledlow","400 S Main Street\nLos Angeles, CA\n(213) 687-7015"
"Restaurants","Trois Mec","716 N. Highland Ave., Los Angeles\n(No phone.)\ntroismec.com\nDinner, Mondays to Fridays\n$$$$\nReservations only through online pre-paid tickets. Beer and wine. Lot parking."
"Restaurants","Fishing With Dynamite","1148 Manhattan Avenue\nManhattan Beach, CA 90266"
"Restaurants","Lukshon","3239 Helms Ave., Culver City; \n(310) 202-6808."
"Restaurants","Sushi Tanaka","Nobu Alum\nSimi Valley"
"Restaurants","Little Maude","212 S. Beverly Drive\nBeverly Hills, CA\n310-859-3418\nmauderestaurant.com"
"Restaurants","Burgers","Adibs list Aug 2015\n\nDip and Flip - The Dip and Flip burger - Heaven in a bun. Amazing beef burger, topped with layers of sliced roast beef and cheese…all drenched in gravy. I want one right now.\nHonest Burgers - The Honest - Old reliable and the best value for money. The rosemary salted chips are just so good!\nBleecker St Burger - Cheeseburger - There's just something about the beef patties, so delicious and full of flavour.\nBukowski Grill - The Purist - Nostalgic favourite, I need a repeat visit though. Special note - The beef ribs are INCREDIBLE.\nBoom Burger - The Boom Burger - Love the flavours on this one!\nBusan BBQ - Bulgogi Burger - Burger + Korean BBQ = genius.\nPatty and Bun - The Ari Gold - Single handedly converted me to the joys of medium-rare.\nPsychic Burger - The Psychic - Just a lovely burger with great sauce.\nMother Flipper - The Mother Flipper Cheese Burger - Similar to Psychic burger, a good all-rounder.\nLucky Chip - The Donald Trump Burger - Finally got round to them at National Burger Day 2015! Excellent burger, but the toppings were the real draw to this one. Very flavourful and I wolfed it down. \nByron - Classic/Cheese - The one that started it all, subsequent specials have been hit-or-miss, but I'm still fond of the classic.\nTommi's Burger Joint - Burger - No frills, just delicious.\nDirty Burger - Dirty Cheeseburger - Still good, but drops down the ranking with each repeat visit…\nMeatMarket/MeatLiquor - The Dead Hippie - Love the sauce on this one, sometimes inconsistent with the meat.\nMeat and Shake - Smoking Bandit - The meat pattie is unfortunately the weakness, but everything else is tasty and I do enjoy eating it."
"Restaurants","Roka","http://www.rokarestaurant.com/"
"Restaurants","Brawn","http://www.brawn.co/"
"Restaurants","Embassy East","http://www.embassyeast.co.uk/"
"Restaurants","The Ginger Pig Cafe","http://thegingerpigcafe.com/"
"Restaurants","Bittersweet","http://bittersweetdenver.com/thursday-tasting-menu/"
"Restaurants","Founding Farmers","6:45 pm"
"Restaurants","Bistro 61 - UES Midtown East - 1113 First Ave. @ 61st","212-223-6220"
"Restaurants","Rauer´s","http://www.rauerscatering.de/HTML/index.html\n"
"Restaurants","Rice Paper - Falls Church","6775 Wilson Blvd. 703-538-3888"
"Restaurants","Saba - Fairfax (Yemen)","3900 Pickett Rd. Fairfax  703-425-1130"
"Restaurants","Thai Taste by Kob","11315 Fern St. Wheaton; 301-942-0288"
"Restaurants","Green Pig Bistro - Arlington","1025 N. Fillmore St. Arlington; 703-888-1920"
"Restaurants","The Red Hen","Italian\n\n1822 first st. NW; 202-525-3021"
"Restaurants","Liberty Tavern. Arlington","3195 Wilson Blvd. Arlington, 703-465-9360"
"Restaurants","Kogiya - annadale","4220-A Annadale Rd. Annadale, Va 703-942-6995"
"Restaurants","Annapolis. Vin 909 Winecafe","909 Bat Ridge Ave. Annapolis, MD. 410-990-1846"
"Restaurants","Papa Haydn -Greta's fav dessert in Oregon","701 NW 23rd\nPortland OR 97210\n\n5829 SE Milwaukie\nPortland OR 97202"
"Restaurants","Shinbay","Shinbay.com"
"Restaurants","PHX: Citizen Public House: Pork Belly Pastrami citizenpublichouse.com","http://www.azcentral.com/story/entertainment/dining/2014/03/30/seftel-top-signature-dishes-metro-phoenix/7036087/"
"Restaurants","PHX: Crudo: Squid-Ink Risotto crudoaz.com","http://www.azcentral.com/story/entertainment/dining/2014/03/30/seftel-top-signature-dishes-metro-phoenix/7036087/"
"Restaurants","PHX: Little Miss BBQ: Brisket  littlemissbbq.com","littlemissbbq.com\n\nhttp://www.azcentral.com/story/entertainment/dining/2014/03/30/seftel-top-signature-dishes-metro-phoenix/7036087/"
"Restaurants","PHX: Vivo Ristorante (OldTown Scotts) http://www.vivoaz.com/","http://www.eater.com/maps/phoenix-heatmap-where-to-eat-cuff-upton/vivo-ristorante-scottsdale-az"
"Restaurants","PHX: Cuff (Glendale & 59th Ave) http://www.cuffdowntown.com/","http://www.eater.com/maps/phoenix-heatmap-where-to-eat-cuff-upton/cuff"
"Restaurants","PHX: Urban Vine: Seafood in a Bag urbanvinephx.com","http://www.azcentral.com/story/entertainment/dining/2014/03/30/seftel-top-signature-dishes-metro-phoenix/7036087/"
"Restaurants","PHX: Noble Eatery (Lunch-only - McDowell & 22nd St) http://noblebread.com/","http://www.eater.com/maps/phoenix-heatmap-where-to-eat-cuff-upton/noble-eatery"
"Restaurants","PHX: Virtu: Grilled Octopus virtuscottsdale.com","virtuscottsdale.com\n\nhttp://www.azcentral.com/story/entertainment/dining/2014/03/30/seftel-top-signature-dishes-metro-phoenix/7036087/"
"Restaurants","PHX: The Upton (Downtown Scottsdale) http://www.theuptonaz.com/","http://www.eater.com/maps/phoenix-heatmap-where-to-eat-cuff-upton/the-upton"
"Restaurants","PHX: FNB: Leeks (Downtown Scottsdale) fnbrestaurant.com","fnbrestaurant.com\n\nhttp://www.azcentral.com/story/entertainment/dining/2014/03/30/seftel-top-signature-dishes-metro-phoenix/7036087/"
"Restaurants","Gaststätte Hof-Schauferts Inh.Oliver Luzius 56370 Schönborn","Gaststätte Hof-Schauferts\nInh.Oliver Luzius\n56370 Schönborn \nhttp://www.schauferts.de"
"Restaurants","Bingen    Weingut Hildegardishof","Johannisstr. 17"
"Restaurants","Odenwald    Restaurant mit Apfelessig","Gasthaus zur Freiheit Freiheitsstraße 20\n64 385 Reichelsheim/\nLaudenau\nTel.: 06164 / 1032\nFax.: 06164 / 912955\nMail:\ngasthaus@zurfreiheit.de \nhttp://www.zurfreiheit.de/map.htm"
"Restaurants","Penny Black","Excellent pulled pork sandwich "
"Restaurants","Bitxarraco.com","Valencia 212"
"Restaurants","Z's Burgers","Oía, Greece"
"Restaurants","The Roost","Longmont, Colorado"
"Restaurants","The Original Pancake House","Fort Collins, Colorado"
"Restaurants","Dream Cafe","Grand Junction, Colorado"
"Restaurants","Riviera","Glenwood Springs, Colorado"
"Restaurants","Scrumptious","Longmont, Colorado"
"Restaurants","Hot Tomato Cafe","Fruita, Colorado"
"Restaurants","Rino's","Trinidad, Colorado"
"Restaurants","Garage Bar & Tap - Phoenix","Pork Chops\nDeviled Eggs\nWings\nBurger\nOnion Rings\nCookie Skillet"
"Restaurants","Mariscos Playa Hermosa - Phoenix 16th Street - Mexican","Crab Enchiladas"
"Restaurants","Rocket Burger - Phoenix","Root Beer Float\nNew York Burger - topped with coleslaw, pastrami"
"Restaurants","Slice of the Week: Pizza Burger at Black Tap | am New York","http://www.amny.com/eat-and-drink/slice-of-the-week-pizza-burger-at-black-tap-1.10707515?cmpid=amNewYork\nWhy go for a slice when you can have a whole pizza sandwich?"
"Restaurants","Little London","http://www.little-london.de\n\nModerne, leichte Küche am Puls der Zeit\nIn der Küche des Little London geht es richtig heiß zu: Bei 928 ° Celsius werden Entrecote, Roastbeef oder Tomahawk auf einem amerikanischen Montague Grill zubereitet und gelangen so besonders zart, saftig und aromatisch auf den Teller unserer Gäste. 15 verschieden Fleischsorten wie Prime Beef, Black Angus oder Duroc Schwein wurden zum Teil bis zu 50 Wochen dry aged abgehangen. Dazu reichen wir in unserem Restaurant frische saisonale und regionale Beilagen.\n\nSchauen Sie schon jetzt in unsere Speise- und Dessertkarte – lassen Sie sich inspirieren.\n\n\n\n„Unsere moderne Küche mit saisonalen Produkten wird durch die Britische Kolonialzeit beeinflusst und ständig weiterentwickelt!“\nKonstantin Grailer\n\nUm den Genuss abzurunden, bieten wir Starters wie Tatar vom Weideochsen und zum Dessert zum Beispiel eine englische Variation der Crème Brûlée mit Earl Grey Tee oder Apple Trifle an.\n\nDamit Sie zu Ihrem Essen den passenden Wein finden, hat sich Geschäftsführer Mario Pargger ins Zeug gelegt. Er beschäftigt sich seit 20 Jahren mit Wein und hat mit großer Sorgfalt eine umfangreiche Karte zusammengestellt. 160 verschiedene Weine sind dort thematisch sortiert. Ein Beispiel sind die „Fabulous 7“ hinter denen sich sieben Rebsorten, die weltweit zu Hause sind, verbergen. Echte Klassiker der Weinwelt wie ein Barolo Bussia Docg oder ein Charmbertin Grand Cru, sowie eine große Auswahl an Perlweinen und „Big Bottles“ gehören ebenfalls zu unserem Angebot. Werfen Sie einen Blick in unsere Karte und lassen Sie sich gerne vor Ort von unseren Sommeliers Lukas und Eric beraten.\n\nLittle London GmbH\nTal 31\n80331 München\n\n\nTelefon: 089 / 122239470\nTelefax: 089 / 122239479\nE-Mail: mario@little-london.de\n\nöffnungszeiten\nTäglich ab 11:00 Uhr\n\nBusiness-Lunch\nMo bis Fr von 11:30 bis 15:00 Uhr\n\n"
"Restaurants","Rive Gauche, München","Rive Gauche\nThalkirchner Str. 11\n80337 München\nTelefon 089 / 23 23 18 98\nMail: info@rive-gauche.biz\n\nMontag bis Samstag\nvon 15 Uhr bis 1 Uhr nachts \n(Küche bis 23 Uhr)."
"Restaurants","Caribbean Embassy","Ganghoferstraße 68\n80339 München\n\nTelefon: +49 89 - 540 306 10\nE-Mail: info@caribbean-embassy.de\n\nhttp://www.caribbean-embassy.de\n\nDienstag:18:00-01:00\nMittwoch:18:00-01:00\nDonnerstag:18:00-01:00\nFreitag:18:00-03:00\nSamstag:18:00-03:00\nSonntag:18:00-01:00\n"
"Restaurants","Scheffelhaus, Neustadt","Scheffelhaus\n\nMarktplatz 4\n67433 Neustadt / Weinstraße\n\n0 63 21 / 39 00 83\n0 63 21 / 39 00 85 0\ninfo@scheffelhaus.de\n\nÖffnungszeiten\nWeinstube und Restaurant\n\nMontag - Sonntag\n\n11:00 Uhr - 14.30 Uhr\n\n17:00 Uhr - 22.00 Uhr\n\nWarme Küche von\n\n11:30 Uhr - 14:30 Uhr\n17:30 Uhr - 22:00 Uhr"
"Restaurants","Pageou, München","http://www.sz.de/1.2356984\n\nPAGEOU Restaurant\nKardinal-Faulhaber-Straße 10 | 1. OG\n80333 München\nTelefon: (0 89) 24 23 13 10\nEmail: info@pageou.de\n\nUnsere Küche ist für Sie geöffnet:\nDienstag bis Freitag\n12:00–14:30 Uhr\n18:30–22:00 Uhr\n\nSamstag\n12:00–15:00 Uhr\n18:30–22:00 Uhr"
"Restaurants","Beliciousburger","Belicious Burger\nPariser Straße 34\n81667 München\n \nRESERVIERUNG\nOpenTable- und E-Mail-Reservierungen bitte mindestens einen Tag vorher anfragen: email@beliciousburger.de \nBei erfolgreicher Reservierung senden wir Dir eine Bestätigung per Email zu.\nKurzfristige Anfragen bitte telefonisch an uns richten unter: 089 62 50 28 78\n \nÖFFNUNGSZEITEN\nMO – MI: 17 – 23 Uhr (Küche bis 22 Uhr)\nDO – FR: 11 – 14,  17 – 23 Uhr\n(Küche bis 22:30 Uhr)\nSA: 17 – 23 Uhr (Küche bis 22:30 Uhr)\nSO: 17 – 23 Uhr (Küche bis 22 Uhr)\n \nHaltestelle Ostbahnhof\nS-Bahn S1-S4, S6-S8, S27\nBus  54, 55, 62, 100, 145, 155, 187\nTram  19 und U-Bahn U5\nHaltestelle Rosenheimer Platz\nS-Bahn S1-S4, S6-S8, S27, Tram  15, 25"
"Restaurants","Taverna Limani, München","rotdornstr. 2 - 81547 münchen\ntel: +49 (89) 69 80 40 72\nfax: +49 (89) 69 80 40 73\ntäglich 17:00-01:00\nsonntags, feiertags 11:30-14:30\nund 17:00-01:00"
"Restaurants","Au Bord du Rhin","http://www.au-bord-du-rhin.fr/www.au-bord-du-rhin.fr/Accueil.html"
"Restaurants","Top 5 Restaurants : Food Network","http://www.foodnetwork.com/shows/top-5-restaurants.mobile.html\nGet full episodes, clips, and recipes from Top 5 Restaurants from Food Network."
"Restaurants","Carnitas Uruapan Restaurant - 64 Photos - Mexican - Pilsen - Chicago, IL - Reviews - Yelp","http://www.yelp.com/biz/carnitas-uruapan-restaurant-chicago 73 Reviews of Carnitas Uruapan Restaurant ""First of all, Anthony M.'s review of Carnitas Uruapan is so wholly amazing, you should go read it. Read it now. I was turned on to Carnitas Uruapan by Food Network's Aaron Sanchez, who you may know from…"
"Restaurants","Ample Hills Creamery - Ice Cream & Frozen Yogurt - Prospect Heights - Brooklyn, NY - Reviews - Photos - Yelp","http://m.yelp.com/biz/ample-hills-creamery-brooklyn?skip_bridge=true\n697 Reviews of Ample Hills Creamery ""It really is the best ice cream I have ever had in NYC. They live up to the hype.  The ice cream is definitely the creamiest I have ever had. I am glad I do not live too close. Otherwise, I would be 50 pounds…"
"Restaurants","dullboy (@dullboybar) • Instagram photos and videos","https://instagram.com/dullboybar/\nFINE FOODS &amp; BOOZING DONE BETTER | 364 grove street | jersey city | come say hello, have a cocktail, and grab a bite."
"Restaurants","Taqueria Mexicana - North Bergen","http://www.yelp.com/biz/taqueria-mexicana-north-bergen"
"Restaurants","Welcome | Forgotten Boardwalk","https://www.forgottenboardwalk.com/"
"Restaurants","Ino Sushi - 28 Photos - Japanese - Clifton, NJ - Reviews - Yelp","http://www.yelp.com/biz/ino-sushi-clifton 17 Reviews of Ino Sushi ""What a hidden Gem! The best sushi that I've had in this area. I can't believe I've been missing out on this for almost a year. The owners are clearly committed to reach sushi perfection. We got here 5 past 5 but the place…"
"Restaurants","Rolling Rock","Distelweg 113\nTerras altijd zon\n"
"Restaurants","De vergulden Eenhoorn","Ringdijk 58, Watergraafsmeer\n"
"Restaurants","Radion","Niet duur\nLouwesweg 1\n"
"Restaurants","Van lennep","Jacob van lennepkade 334\n2 terrassen\n"
"Restaurants","Graceland bbq","Jan van galenstraat"
"Restaurants","Panache","Ten catemarkt 117\n"
"Restaurants","Breitner","Van der Palmkade 13"
"Restaurants","Moeders","Rozengracht"
"Restaurants","Naked Finn - Guilman Village","Recommended by Kerryn"
"Restaurants","HKG","Dan Ryan -Central.  Admiralty stop (first stop) exit F. Pacific Place mall.\n\nThai restaurant just below!!!"
"Restaurants","Dayton, OH","The Pine Club- the best bone in ribeye in USA"
"Restaurants","CTU","Pete's Tex Mex.  several locations, close to hotel, very good (re. Chris Young)"
"Restaurants","Stone Soup Cottage","636-244-2233"
"Restaurants","Huxley","Nestled in the heart of the TL, this tiny 25-seat eatery boasts some of San Francisco boldest brunch flavors. While the menu offers hearty and meaty dishes such as pork belly for breakfast and house-cured chorizo, it’s the classic avocado toast—thick sourdough bread and creamy California avocado topped with sea urchin, seaweed, and sesame— that has locals lining up on Geary Street. //  846 Geary St (Tenderloin), huxleysf.com \n\n"
"Restaurants","Liholiho Yacht Club","871 Sutter St (FiDi), liholihoyachtclub.com\n"
"Restaurants","Benjamin Cooper","398 Geary St. (Union Square), benjamincoopersf.com"
"Restaurants","Al's Place - Valencia @ 26th","Three years after the closing of Ubuntu, Napa's groundbreaking vegetarian restaurant, former executive chef (and James Beard Award nominee) Aaron London opened his own 45-seat eatery in the Mission. At Al's Place, London's veg-centric dishes will also feature fresh seafood. You must try the lightly cured trout with young fava beans and preserved-lime potatoes—soon to be a classic.  //  1499 Valencia St. (Mission), alsplacesf.com\n\n"
"Restaurants","Seed + Salt","2240 Chestnut St. (Marina), seedandsalt.com\n"
"Restaurants","http://ateliercrenn.com","http://ateliercrenn.com/AutumnMenu_Fall2014.pdf\n"
"Restaurants","René Redzepi – Koch in Kopenhagen ","http://de.m.wikipedia.org/wiki/Ren%C3%A9_Redzepi"
"Restaurants","Choco Chicken: Chocolate Infused Fried Chicken in Los Angeles | California Through My Lens","One thing LA has a lock on is unique places do eat. There’s a sausage place with rattlesnake sausages, a place where you eat in total darkness and Choco Chicken where literally everything has chocolate in it. Located near Staples Center, and coming highly recommended I had to give it a try. Details  $15 a person Hours: … \nhttp://californiathroughmylens.com/choco-chicken-los-angeles"
"Restaurants","feedly: organize, read and share what matters to you.","Feedly connects you to the information and knowledge you care about. We help you get more out of you work, education, hobbies and interests. The feedly platform lets you discover sources of quality content, follow and read everything those sources publish with ease and organize everything in one place. \nhttp://feedly.com/index.html"
"Restaurants","M&M Donuts: Fresh Blueberries Donuts and an Hour Wait | California Through My Lens","I love the readers on this blog, they are always suggesting the most awesome stuff for me to try out. M&M Donuts is an example of that. A few weeks ago I received an email that said “You like donuts right? Why haven’t you had a blueberry donut from M&M Donuts?” After some research I realized … \nhttp://californiathroughmylens.com/m-m-donuts-anaheim"
"Restaurants","Olamaie","Around the 15th in San Antonio\nAndy recommended"
"Restaurants","Eating At 48 Restaurants In 48 Hours In Toronto And Montreal","If you're like us, when you travel, you want to experience as many restaurants as possible at your destination. So you too will admire (and gape in wonder) at what Harry and Bruce, the guys behind a n \nhttp://www.huffingtonpost.ca/2015/01/09/toronto-montreal-restaurants_n_6443564.html"
